factor,ic1,icir1,days,ic5,icir5,ic10,icir10,ic20,icir20
mf_apm_tstat_w20,-0.00857626039439874,-0.05403286943027839,1292,-0.010514890242263302,-0.06913856088844397,-0.010354992742866406,-0.06835787783063237,-0.016754059920492167,-0.1090822343003282
mf_tail30_sharpe_ratio,-0.02713625388953886,-0.2322722388096561,1292,-0.01666033838185516,-0.14229651756267986,-0.016478956096553792,-0.13917704117275845,-0.015065669904186771,-0.14010908518091233
mf_smart_q_5m_b025_w10_p20,,,0,,,,,,
mf_logvol_intraday_std_w20,-0.020169499959901208,-0.11488639233363501,1292,-0.034306727088449014,-0.2000668468806042,-0.04124864333931587,-0.2435595270149348,-0.05461475583411,-0.3335087709975761
mf_open30_amount_z20,,,0,,,,,,
mf_pm_open30_to_am_open30_vol_ratio,0.02320151688475722,0.15255484075214623,1292,0.03807181739384157,0.25031685897156075,0.04377045127839535,0.2816778309674965,0.05381090728289015,0.3379579763782299
mf_upvol_share_stability_w20,,,0,,,,,,
mf_chip_return_bin_skewness,0.028000335838706095,0.16122315689384975,1292,0.03555919763790279,0.2047805815898663,0.03996347492529368,0.2274189994063123,0.05078114572666209,0.2968483857975165
mf_close_vs_poc,-0.0017043531539221628,-0.01229299206006837,1292,0.009237003130095952,0.06781193010917856,0.011312770263435308,0.08545826860396051,0.012351875259273573,0.09850784979627941
mf_logsig_v_l2_1,0.02624365360423501,0.15646921296982605,1292,0.0389580656039853,0.23934519589516765,0.04307801208567502,0.2643642742980945,0.05652169918661664,0.35431245423487845
mf_logsig_v_l2_21,0.030841513279290245,0.1906211026782494,1292,0.04037311547872266,0.25704782049176045,0.044817945238246025,0.2875041871478312,0.05628201415678505,0.3683482581314821
mf_tail_volume_weighted_return,-0.01431898056909465,-0.16458812999495107,1292,-0.007715729295453898,-0.09012552121257977,-0.006814273623862109,-0.08251922015219026,-0.0071230100065870225,-0.09394995183886075
mf_volume_up_return_std,0.036493452791770215,0.17930833260963222,1292,0.05288563594745133,0.2681546967150061,0.060616565536208124,0.3036445453134886,0.07819928860021456,0.4007801533458574
mf_bottomvol_ret_w20,-0.004395833727589681,-0.059713766677604,1292,-0.009850582300167669,-0.13122788784473569,-0.009152798361896582,-0.12269203393333869,-0.006062676179783432,-0.08725675783931217
mf_last3bar_auction_share,-0.012082812814085943,-0.14820050389642966,1292,-0.005985973381084812,-0.073554799508998,-0.006138084345402268,-0.07517625864564856,0.00009650467544118528,0.0011727207144279208
mf_firstbar_auction_share,0.00349882748425969,0.03669290517884695,1292,-0.0036192103533490548,-0.037844491699173914,-0.0032843102646842736,-0.03428060051891612,-0.005320666506984091,-0.057527798394264605
mf_dazzling_vol_w20,-0.027975583241634513,-0.1524894009692288,1292,-0.042059546973356184,-0.2358714318934714,-0.04801849830988279,-0.26742807750779524,-0.06121662711615571,-0.35784589213761986
mf_dazzling_ret_w20,-0.02288466227479731,-0.14788178512358563,1292,-0.030678383235073135,-0.2109859020873393,-0.03584289075825292,-0.2433073730126705,-0.046415717001807154,-0.32108810977065627
mf_moderate_risk_composite,,,0,,,,,,
mf_tide_strong_rate_w20,-0.038166315275707144,-0.21729058826742326,1292,-0.05202081952508907,-0.30424306950790203,-0.060180168838241614,-0.3484205519305588,-0.07477988668121316,-0.4264831645102173
mf_tide_weak_std_w20,-0.03602212059141041,-0.19941535615559058,1292,-0.045829397438913594,-0.26041467023711934,-0.05217362639039525,-0.2914349264984695,-0.06339070666705592,-0.34645779161617785
mf_climb_cov_w20,0.003216546911158458,0.04905280778100565,1292,0.008025789253013395,0.12772355705807445,0.009794652200089586,0.15806437564632564,0.010117462612916062,0.15668229903947137
mf_jump_taylor_residual_w20,-0.033690907563585455,-0.17592273044125953,1292,-0.04850195870408732,-0.25860418305641697,-0.05360981620827327,-0.28170855654757954,-0.06544870481666289,-0.3477374255886441
mf_reversal_amplitude_w20,,,0,,,,,,
mf_ambiguity_amount_corr_w20,-0.03753909051923922,-0.17924044744126572,1292,-0.05439369513067816,-0.267147308360916,-0.06222036951402556,-0.29871278263132334,-0.07986617407419415,-0.3890384219779179
mf_ambiguity_amount_ratio_w20,-0.03669417744859591,-0.21622478331649284,1292,-0.05047104026102778,-0.30394829696621267,-0.056637848708772816,-0.3346633753378924,-0.07284368120010379,-0.4356524724609385
mf_ambiguity_price_gap_w20,-0.030937598448809937,-0.18482843004833768,1292,-0.04124690094534741,-0.25014131294929526,-0.04438559717155938,-0.25872739310762216,-0.05179073374716898,-0.29562903487287795
mf_vol_diff_ols_tstd_w20,-0.02216744172442187,-0.22678973381294684,1292,-0.034346374575253136,-0.36353931836934067,-0.04061609098232983,-0.4129053963175225,-0.04842290190806482,-0.49159805359626757
mf_vol_diff_ols_intercept_w20,-0.027331158466088624,-0.19117710656360384,1292,-0.03662931223287213,-0.26523921961282626,-0.03916330102531176,-0.28009846175115094,-0.04846263378285186,-0.34672707612427145
mf_volume_follow_ratio_w20,,,0,,,,,,
mf_volume_game_return_w20,-0.014462873454909413,-0.09348708298131837,1292,-0.020354656659686138,-0.14130914620880378,-0.023543835958001497,-0.16410779758063965,-0.03148891574510379,-0.22621480422576729
mf_volume_game_position_w20,-0.011899668077193403,-0.08943450916435108,1292,-0.015037628314117962,-0.11906541306281171,-0.0138549070061318,-0.11150431901812778,-0.018811014370793185,-0.1485544176004173
mf_amplitude_game_w20,-0.03883164871920908,-0.18183731036223344,1292,-0.05133648497314989,-0.24562894237247765,-0.0567061988384219,-0.26600876982035226,-0.07041921542154485,-0.32459263858170034
