factor,ic_mean,icir,top_bp,bot_bp,spread_bp,long_bp,short_bp
mf_last3bar_auction_share,-0.012082812814085943,-0.14820050389642966,-6.2641750709987525,4.977822394275709,-11.24199746527446,-4.977822394275709,-6.2641750709987525
mf_firstbar_auction_share,0.003498827484259689,0.03669290517884694,2.3696277178254017,-1.0772026009197797,3.446830318745181,2.3696277178254017,1.0772026009197797
mf_dazzling_vol_w20,-0.027975583241634513,-0.1524894009692288,-0.3118310199943634,-0.639364778736648,0.3275337587422846,0.639364778736648,-0.3118310199943634
mf_dazzling_ret_w20,-0.022884662274797313,-0.14788178512358566,0.03727230787628075,-1.770805390929696,1.8080776988059768,1.770805390929696,0.03727230787628075
mf_tide_strong_rate_w20,-0.038166315275707144,-0.21729058826742326,-1.2860015110923748,0.559841912855598,-1.8458434239479729,-0.559841912855598,-1.2860015110923748
mf_tide_weak_std_w20,-0.036022120591410405,-0.19941535615559056,-0.7751468825132608,0.2934137357229294,-1.0685606182361902,-0.2934137357229294,-0.7751468825132608
mf_climb_cov_w20,0.003216546911158458,0.04905280778100565,-0.7157535731264683,0.14742571268236823,-0.8631792858088365,-0.7157535731264683,-0.14742571268236823
mf_jump_taylor_residual_w20,-0.03369090756358545,-0.17592273044125947,-1.113800993644339,-0.8045113666742607,-0.30928962697007834,0.8045113666742607,-1.113800993644339
mf_ambiguity_amount_corr_w20,-0.03753909051923922,-0.17924044744126572,-1.7094551820837314,0.9864690776640571,-2.695924259747789,-0.9864690776640571,-1.7094551820837314
mf_ambiguity_amount_ratio_w20,-0.03669417744859591,-0.21622478331649284,-1.6710086939438824,0.7938364678314623,-2.4648451617753446,-0.7938364678314623,-1.6710086939438824
mf_ambiguity_price_gap_w20,-0.030937598448809937,-0.18482843004833766,-0.43562889134689914,-0.11170196563125342,-0.3239269257156457,0.11170196563125342,-0.43562889134689914
mf_vol_diff_ols_tstd_w20,-0.022167441724421873,-0.22678973381294687,-2.7470262138181822,0.9292072064426923,-3.6762334202608744,-0.9292072064426923,-2.7470262138181822
mf_vol_diff_ols_intercept_w20,-0.027331158466088624,-0.19117710656360384,-0.030337830291866593,0.8935064315757437,-0.9238442618676103,-0.8935064315757437,-0.030337830291866593
mf_volume_game_return_w20,-0.014462873454909413,-0.09348708298131839,-0.08712802996486467,-0.8239335627295814,0.7368055327647167,0.8239335627295814,-0.08712802996486467
mf_volume_game_position_w20,-0.011899668077193403,-0.08943450916435108,1.0670127010788182,-1.7965378375176986,2.8635505385965168,1.7965378375176986,1.0670127010788182
mf_amplitude_game_w20,-0.03883164871920908,-0.18183731036223344,-0.2386774045426996,-0.018370289061878924,-0.22030711548082066,0.018370289061878924,-0.2386774045426996
mf_path_tortuosity_w20,0.028667982291447094,0.15074086882377416,1.0636895563269677,-1.3721238854109616,2.435813441737929,1.0636895563269677,1.3721238854109616
mf_amihud_intraday_w20,0.003180184101582074,0.02565959704312482,0.8445976584479103,-1.2105457540209348,2.055143412468845,0.8445976584479103,1.2105457540209348
mf_direction_changes_w20,-0.019652109108531577,-0.11971783200285425,0.4808218279619663,-0.09649463375705927,0.5773164617190256,0.09649463375705927,0.4808218279619663
mf_upper_shadow_minute_share,-0.013688445895696944,-0.09423279145574705,2.9123400131651294,-0.22425593001556476,3.1365959431806942,0.22425593001556476,2.9123400131651294
mf_minute_ols_qrs_w20,-0.0378679461497092,-0.18268607381864566,-0.8327640311202023,0.033400785918932634,-0.866164817039135,-0.033400785918932634,-0.8327640311202023
mf_minute_ols_r2_mean_w20,-0.0056918794946539545,-0.048673796725824316,-0.19582542757399735,0.4632204147676284,-0.6590458423416257,-0.4632204147676284,-0.19582542757399735
mf_between_momentum_w20,-0.027757140133297307,-0.12302109117307894,1.573923604821271,1.3667067410572025,0.2072168637640685,-1.3667067410572025,1.573923604821271
mf_chip_top3_return_bin_share,-0.005909722077776583,-0.03536969584624069,-0.07054704363921893,-0.7012780849364302,0.6307310412972114,0.7012780849364302,-0.07054704363921893
mf_doc_pdf80,0.011727097696148239,0.07363566324190358,0.9096447757867292,-0.7830570804551061,1.6927018562418352,0.9096447757867292,0.7830570804551061
mf_ideal_amplitude_d20,-0.03661141497298565,-0.184028468476939,-0.6782585465282459,0.45994499723273236,-1.138203543760978,-0.45994499723273236,-0.6782585465282459
mf_ideal_turnover_d20,-0.018645358669618067,-0.14433655926639546,-1.7262899960897498,-0.4485154347701267,-1.2777745613196232,0.4485154347701267,-1.7262899960897498
